timestamp,1153_transform_pitch,1153_transform_yaw,1153_transform_roll,1153_vel_x (m/s),1153_vel_y (m/s),1153_vel_z (m/s),1153_angular_vel_x (rad/s),1153_angular_vel_y (rad/s),1153_angular_vel_z (rad/s),1153_acc_x (m/s²),1153_acc_y (m/s²),1153_acc_z (m/s²) gravity,1154_transform_pitch,1154_transform_yaw,1154_transform_roll,1154_vel_x (m/s),1154_vel_y (m/s),1154_vel_z (m/s),1154_angular_vel_x (rad/s),1154_angular_vel_y (rad/s),1154_angular_vel_z (rad/s),1154_acc_x (m/s²),1154_acc_y (m/s²),1154_acc_z (m/s²) gravity
1576242959153,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.0,0.0,-0.0,0.0,-0.05,3.35,-180.0,0.01,-0.0,-0.0,-10.53,0.01,3.52,-0.0,-0.0,0.0,-9.7
1576242959197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.15,3.52,-180.0,0.01,-0.0,-0.0,-11.01,0.01,3.52,-0.0,-0.0,0.0,-9.69
1576242959260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-180.0,0.01,-0.0,-0.0,-11.5,0.01,3.52,-0.0,-0.0,0.0,-9.69
1576242959302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,-180.0,0.01,-0.0,-0.0,-11.98,0.01,3.52,-0.0,-0.0,0.0,-9.68
1576242959345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,-180.0,0.01,-0.0,-0.0,-12.46,0.01,3.52,-0.0,-0.0,0.0,-9.68
1576242959414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,-180.0,0.01,-0.0,-0.0,-12.95,0.01,3.52,-0.0,-0.0,0.0,-9.67
1576242959497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,-180.0,0.01,-0.0,-0.0,-13.43,0.01,3.52,-0.0,-0.0,0.0,-9.67
1576242959537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,-180.0,0.01,-0.0,-0.0,-13.92,0.01,3.52,-0.0,-0.0,0.0,-9.66
1576242959581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,-180.0,0.01,-0.0,-0.0,-14.4,0.01,3.52,-0.0,-0.0,0.0,-9.66
1576242959626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,-180.0,0.01,-0.0,-0.0,-14.88,0.01,3.52,-0.0,-0.0,0.0,-9.65
1576242959693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11,-180.0,0.01,-0.0,-0.0,-15.36,0.01,3.52,-0.0,-0.0,0.0,-9.65
1576242959733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,-180.0,0.01,-0.0,-0.0,-15.85,0.01,3.52,-0.0,-0.0,0.0,-9.64
1576242959777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,-180.0,0.01,-0.0,-0.0,-16.33,0.01,3.52,-0.0,-0.0,0.0,-9.64
1576242959841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,-180.0,0.01,-0.0,-0.0,-16.81,0.01,3.52,-0.0,-0.0,0.0,-9.63
1576242960046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,-180.0,0.01,-0.0,-0.0,-17.29,0.01,3.52,-0.0,-0.0,0.0,-9.63
1576242960164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,-180.0,0.01,-0.0,-0.0,-17.77,0.01,3.52,-0.0,-0.0,0.0,-9.62
1576242960281,0.0,0.0,0.0,-0.0,-0.0,-0.01,0.0,-0.0,-0.0,-0.0,-0.0,-0.12,6.16,-180.0,0.01,-0.0,-0.0,-18.25,0.01,3.52,-0.0,-0.0,0.0,-9.62
1576242960397,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.11,6.34,-180.0,0.01,-0.0,-0.0,-18.73,0.01,3.52,-0.0,-0.0,0.0,-9.61
1576242960548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.05,6.52,-180.0,0.01,-0.0,-0.0,-19.21,0.01,3.52,-0.0,-0.0,0.0,-9.61
1576242960675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.02,6.69,-180.0,0.01,-0.0,-0.0,-19.69,0.01,3.52,-0.0,-0.0,0.0,-9.6
1576242960777,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.01,6.87,-180.0,0.01,-0.0,-0.0,-20.17,0.01,3.52,-0.0,-0.0,0.0,-9.6
1576242960894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,7.04,-180.0,0.01,-0.0,-0.0,-20.65,0.01,3.52,-0.0,-0.0,0.0,-9.59
1576242961010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.01,7.22,-180.0,0.01,-0.0,-0.0,-21.13,0.01,3.52,-0.0,-0.0,0.0,-9.59
1576242961122,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.01,7.4,-180.0,0.01,-0.0,-0.0,-21.61,0.01,3.52,-0.0,-0.0,0.0,-9.59
1576242961240,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.03,7.57,-180.0,0.01,-0.0,-0.0,-22.09,0.01,3.52,-0.0,-0.0,0.0,-9.58
1576242961354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.01,7.75,-180.0,0.01,-0.0,-0.0,-22.57,0.01,3.52,-0.0,-0.0,0.0,-9.58
1576242961471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,7.92,-180.0,0.01,-0.0,-0.0,-23.05,0.01,3.52,-0.0,-0.0,0.0,-9.57
1576242961605,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.1,-180.0,0.01,-0.0,-0.0,-23.53,0.01,3.52,-0.0,-0.0,0.0,-9.57
1576242961725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.28,-180.0,0.01,-0.0,-0.0,-24.0,0.01,3.52,-0.0,-0.0,0.0,-9.56
1576242961846,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.45,-180.0,0.01,-0.0,-0.0,-24.48,0.01,3.52,-0.0,-0.0,0.0,-9.56
1576242961958,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.63,-180.0,0.02,-0.0,-0.0,-24.96,0.01,3.52,-0.0,-0.0,0.0,-9.55
1576242962071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,8.8,-180.0,0.02,-0.0,-0.0,-25.44,0.01,3.52,-0.0,-0.0,0.0,-9.55
1576242962190,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.01,8.98,-180.0,0.02,-0.0,-0.0,-25.91,0.01,3.52,-0.0,-0.0,0.0,-9.54
1576242962323,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,9.16,-180.0,0.02,-0.0,-0.0,-26.39,0.01,3.52,-0.0,-0.0,0.0,-9.54
1576242962435,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,9.33,-180.0,0.02,-0.0,-0.0,-26.87,0.01,3.52,-0.0,-0.0,0.0,-9.53
